Participant,Trial,Correct,Age,Language,AgentType,SentenceType
EKMAX047,Larp,1,38.8,English,DifferentAgent,NA
EKMAX048,Sem,0,36.3,English,SameAgent,NA
EKMAX048,Blick,1,36.3,English,SameAgent,NA
EKMAX048,Larp,1,36.3,English,SameAgent,NA
EKMAX049,Sem,1,56.6,English,SameAgent,NA
EKMAX049,Blick,1,56.6,English,SameAgent,NA
EKMAX049,Larp,0,56.6,English,SameAgent,NA
EKMAX050,Sem,1,45.8,English,DifferentAgent,NA
EKMAX050,Blick,1,45.8,English,DifferentAgent,NA
EKMAX050,Larp,1,45.8,English,DifferentAgent,NA
EKMAX051,Sem,0,55.7,English,SameAgent,NA
EKMAX051,Blick,1,55.7,English,SameAgent,NA
EKMAX051,Larp,0,55.7,English,SameAgent,NA
EKMAX052,Sem,0,38.1,English,SameAgent,NA
EKMAX052,Blick,1,38.1,English,SameAgent,NA
EKMAX052,Larp,1,38.1,English,SameAgent,NA
EKMAX053,Sem,0,36.5,English,SameAgent,NA
EKMAX053,Blick,1,36.5,English,SameAgent,NA
EKMAX053,Larp,1,36.5,English,SameAgent,NA
EKMAX054,Sem,0,47.5,English,DifferentAgent,NA
EKMAX054,Blick,0,47.5,English,DifferentAgent,NA
EKMAX054,Larp,1,47.5,English,DifferentAgent,NA
EKMAX056,Sem,0,37.3,English,DifferentAgent,NA
EKMAX056,Blick,1,37.3,English,DifferentAgent,NA
EKMAX056,Larp,1,37.3,English,DifferentAgent,NA
EKMAX057,Sem,1,34.1,English,SameAgent,NA
EKMAX057,Blick,0,34.1,English,SameAgent,NA
EKMAX057,Larp,0,34.1,English,SameAgent,NA
EKMAX058,Sem,1,54.4,English,DifferentAgent,NA
EKMAX058,Blick,1,54.4,English,DifferentAgent,NA
EKMAX058,Larp,0,54.4,English,DifferentAgent,NA
EKMAX059,Sem,1,36,English,SameAgent,NA
EKMAX059,Blick,1,36,English,SameAgent,NA
EKMAX059,Larp,1,36,English,SameAgent,NA
EKMAX061,Sem,1,36.3,English,SameAgent,NA
EKMAX061,Blick,0,36.3,English,SameAgent,NA
EKMAX061,Larp,0,36.3,English,SameAgent,NA
EKMAX062,Sem,0,34,English,SameAgent,NA
EKMAX062,Blick,1,34,English,SameAgent,NA
EKMAX062,Larp,1,34,English,SameAgent,NA
EKMAX063,Sem,0,39.7,English,DifferentAgent,NA
EKMAX063,Blick,1,39.7,English,DifferentAgent,NA
EKMAX063,Larp,0,39.7,English,DifferentAgent,NA
EKMAX071,Sem,1,55.2,English,SameAgent,NA
EKMAX071,Blick,1,55.2,English,SameAgent,NA
EKMAX071,Larp,0,55.2,English,SameAgent,NA
EKMAX073,Sem,1,43.2,English,SameAgent,NA
EKMAX073,Blick,1,43.2,English,SameAgent,NA
EKMAX073,Larp,1,43.2,English,SameAgent,NA
EKMAX075,Sem,1,43.6,English,DifferentAgent,NA
EKMAX075,Blick,0,43.6,English,DifferentAgent,NA
EKMAX075,Larp,1,43.6,English,DifferentAgent,NA
EKMAX076,Sem,0,42.4,English,DifferentAgent,NA
EKMAX076,Blick,1,42.4,English,DifferentAgent,NA
EKMAX076,Larp,1,42.4,English,DifferentAgent,NA
EKMAX077,Sem,0,33.4,English,DifferentAgent,NA
EKMAX077,Blick,1,33.4,English,DifferentAgent,NA
