Participant,Trial,Correct,Age,Language,AgentType,SentenceType,Experiment
EKMAX007,Larp,1,53.6,English,DifferentAgent,NA,experiment1
EKMAX008,Sem,0,46.6,English,DifferentAgent,NA,experiment1
EKMAX008,Blick,1,46.6,English,DifferentAgent,NA,experiment1
EKMAX008,Larp,1,46.6,English,DifferentAgent,NA,experiment1
EKMAX009,Sem,0,50.3,English,SameAgent,NA,experiment1
EKMAX009,Blick,1,50.3,English,SameAgent,NA,experiment1
EKMAX009,Larp,1,50.3,English,SameAgent,NA,experiment1
EKMAX010,Sem,0,37.1,English,DifferentAgent,NA,experiment1
EKMAX010,Blick,1,37.1,English,DifferentAgent,NA,experiment1
EKMAX010,Larp,1,37.1,English,DifferentAgent,NA,experiment1
EKMAX011,Sem,1,48.5,English,SameAgent,NA,experiment1
EKMAX011,Blick,1,48.5,English,SameAgent,NA,experiment1
EKMAX011,Larp,1,48.5,English,SameAgent,NA,experiment1
EKMAX012,Sem,1,47.1,English,SameAgent,NA,experiment1
EKMAX012,Blick,1,47.1,English,SameAgent,NA,experiment1
EKMAX012,Larp,1,47.1,English,SameAgent,NA,experiment1
EKMAX013,Sem,0,54.5,English,SameAgent,NA,experiment1
EKMAX013,Blick,1,54.5,English,SameAgent,NA,experiment1
EKMAX013,Larp,0,54.5,English,SameAgent,NA,experiment1
EKMAX014,Sem,0,55.5,English,SameAgent,NA,experiment1
EKMAX014,Blick,0,55.5,English,SameAgent,NA,experiment1
EKMAX014,Larp,1,55.5,English,SameAgent,NA,experiment1
EKMAX015,Sem,0,51.2,English,SameAgent,NA,experiment1
EKMAX015,Blick,1,51.2,English,SameAgent,NA,experiment1
EKMAX015,Larp,1,51.2,English,SameAgent,NA,experiment1
EKMAX016,Sem,1,48.6,English,SameAgent,NA,experiment1
EKMAX016,Blick,1,48.6,English,SameAgent,NA,experiment1
EKMAX016,Larp,1,48.6,English,SameAgent,NA,experiment1
EKMAX017,Sem,1,42.2,English,SameAgent,NA,experiment1
EKMAX017,Blick,1,42.2,English,SameAgent,NA,experiment1
EKMAX017,Larp,1,42.2,English,SameAgent,NA,experiment1
EKMAX018,Sem,1,38.2,English,DifferentAgent,NA,experiment1
EKMAX018,Blick,1,38.2,English,DifferentAgent,NA,experiment1
EKMAX018,Larp,0,38.2,English,DifferentAgent,NA,experiment1
EKMAX019,Sem,1,58.8,English,DifferentAgent,NA,experiment1
EKMAX019,Blick,1,58.8,English,DifferentAgent,NA,experiment1
EKMAX019,Larp,1,58.8,English,DifferentAgent,NA,experiment1
EKMAX020,Sem,0,37.9,English,SameAgent,NA,experiment1
EKMAX020,Blick,0,37.9,English,SameAgent,NA,experiment1
EKMAX020,Larp,0,37.9,English,SameAgent,NA,experiment1
EKMAX021,Sem,1,49.1,English,DifferentAgent,NA,experiment1
EKMAX021,Blick,1,49.1,English,DifferentAgent,NA,experiment1
EKMAX021,Larp,1,49.1,English,DifferentAgent,NA,experiment1
EKMAX022,Sem,0,47,English,SameAgent,NA,experiment1
EKMAX022,Blick,1,47,English,SameAgent,NA,experiment1
EKMAX022,Larp,1,47,English,SameAgent,NA,experiment1
EKMAX023,Sem,0,41.97,English,DifferentAgent,NA,experiment1
EKMAX023,Blick,1,41.97,English,DifferentAgent,NA,experiment1
EKMAX023,Larp,1,41.97,English,DifferentAgent,NA,experiment1
EKMAX024,Sem,1,49.1,English,DifferentAgent,NA,experiment1
EKMAX024,Blick,0,49.1,English,DifferentAgent,NA,experiment1
EKMAX024,Larp,1,49.1,English,DifferentAgent,NA,experiment1
EKMAX025,Sem,1,39.3,English,DifferentAgent,NA,experiment1
EKMAX025,Blick,1,39.3,English,DifferentAgent,NA,experiment1
EKMAX025,Larp,1,39.3,English,DifferentAgent,NA,experiment1
EKMAX026,Sem,1,59.1,English,SameAgent,NA,experiment1
EKMAX026,Blick,0,59.1,English,SameAgent,NA,experiment1
EKMAX026,Larp,1,59.1,English,SameAgent,NA,experiment1
EKMAX028,Sem,1,57.7,English,DifferentAgent,NA,experiment1
EKMAX028,Blick,1,57.7,English,DifferentAgent,NA,experiment1
EKMAX028,Larp,1,57.7,English,DifferentAgent,NA,experiment1
EKMAX029,Sem,1,59.6,English,DifferentAgent,NA,experiment1
EKMAX029,Blick,1,59.6,English,DifferentAgent,NA,experiment1
EKMAX029,Larp,1,59.6,English,DifferentAgent,NA,experiment1
EKMAX030,Sem,1,52.8,English,SameAgent,NA,experiment1
EKMAX030,Blick,1,52.8,English,SameAgent,NA,experiment1
EKMAX030,Larp,1,52.8,English,SameAgent,NA,experiment1
EKMAX031,Sem,0,57.2,English,DifferentAgent,NA,experiment1
EKMAX031,Blick,1,57.2,English,DifferentAgent,NA,experiment1
EKMAX031,Larp,0,57.2,English,DifferentAgent,NA,experiment1
EKMAX032,Sem,1,57.6,English,SameAgent,NA,experiment1
EKMAX032,Blick,1,57.6,English,SameAgent,NA,experiment1
EKMAX032,Larp,1,57.6,English,SameAgent,NA,experiment1
EKMAX033,Sem,1,49.2,English,SameAgent,NA,experiment1
EKMAX033,Blick,1,49.2,English,SameAgent,NA,experiment1
EKMAX033,Larp,1,49.2,English,SameAgent,NA,experiment1
EKMAX034,Sem,0,57.2,English,DifferentAgent,NA,experiment1
EKMAX034,Blick,1,57.2,English,DifferentAgent,NA,experiment1
EKMAX034,Larp,0,57.2,English,DifferentAgent,NA,experiment1
EKMAX036,Sem,0,57.7,English,DifferentAgent,NA,experiment1
EKMAX036,Blick,1,57.7,English,DifferentAgent,NA,experiment1
EKMAX036,Larp,1,57.7,English,DifferentAgent,NA,experiment1
EKMAX037,Sem,1,53.5,English,SameAgent,NA,experiment1
EKMAX037,Blick,1,53.5,English,SameAgent,NA,experiment1
EKMAX037,Larp,1,53.5,English,SameAgent,NA,experiment1
EKMAX039,Sem,1,55.6,English,DifferentAgent,NA,experiment1
EKMAX039,Blick,1,55.6,English,DifferentAgent,NA,experiment1
EKMAX039,Larp,0,55.6,English,DifferentAgent,NA,experiment1
EKMAX040,Sem,1,55.2,English,SameAgent,NA,experiment1
EKMAX040,Blick,1,55.2,English,SameAgent,NA,experiment1
EKMAX040,Larp,1,55.2,English,SameAgent,NA,experiment1
EKMAX041,Sem,0,55.1,English,DifferentAgent,NA,experiment1
EKMAX041,Blick,1,55.1,English,DifferentAgent,NA,experiment1
EKMAX041,Larp,1,55.1,English,DifferentAgent,NA,experiment1
EKMAX042,Sem,1,55.5,English,DifferentAgent,NA,experiment1
EKMAX042,Blick,0,55.5,English,DifferentAgent,NA,experiment1
EKMAX042,Larp,1,55.5,English,DifferentAgent,NA,experiment1
EKMAX043,Blick,1,56.7,English,SameAgent,NA,experiment1
EKMAX043,Larp,0,56.7,English,SameAgent,NA,experiment1
EKMAX044,Sem,1,35.9,English,SameAgent,NA,experiment1
EKMAX044,Blick,1,35.9,English,SameAgent,NA,experiment1
EKMAX044,Larp,1,35.9,English,SameAgent,NA,experiment1
EKMAX045,Sem,0,57.1,English,DifferentAgent,NA,experiment1
EKMAX045,Blick,0,57.1,English,DifferentAgent,NA,experiment1
EKMAX045,Larp,1,57.1,English,DifferentAgent,NA,experiment1
EKMAX046,Sem,1,51.2,English,DifferentAgent,NA,experiment1
EKMAX046,Blick,1,51.2,English,DifferentAgent,NA,experiment1
EKMAX046,Larp,0,51.2,English,DifferentAgent,NA,experiment1
EKMAX047,Sem,0,38.8,English,DifferentAgent,NA,experiment1
EKMAX047,Blick,0,38.8,English,DifferentAgent,NA,experiment1
EKMAX047,Larp,1,38.8,English,DifferentAgent,NA,experiment1
EKMAX048,Sem,0,36.3,English,SameAgent,NA,experiment1
EKMAX048,Blick,1,36.3,English,SameAgent,NA,experiment1
EKMAX048,Larp,1,36.3,English,SameAgent,NA,experiment1
EKMAX049,Sem,1,56.6,English,SameAgent,NA,experiment1
EKMAX049,Blick,1,56.6,English,SameAgent,NA,experiment1
EKMAX049,Larp,0,56.6,English,SameAgent,NA,experiment1
EKMAX050,Sem,1,45.8,English,DifferentAgent,NA,experiment1
EKMAX050,Blick,1,45.8,English,DifferentAgent,NA,experiment1
EKMAX050,Larp,1,45.8,English,DifferentAgent,NA,experiment1
